Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,187827660,2409.733625705382,3233005,41.4778146124677,496421,4055497,52.02996986624494,57632,0.7393893333742896,8982,
United States of America,Americas,33604822,10152.43,175426,53,32107,602820,182.12,1890,0.57,411,Community transmission
India,South-East Asia,30946074,2242.46,282409,20.46,38792,411408,29.81,7197,0.52,624,Clusters of cases
Brazil,Americas,19151993,9010.18,296978,139.72,45022,535838,252.09,8946,4.21,1605,Community transmission
Russian Federation,Europe,5857002,4013.45,174368,119.48,23827,145278,99.55,5237,3.59,786,Clusters of cases
France,Europe,5705384,8772.2,27638,42.49,5367,110440,169.8,150,0.23,40,Community transmission
Turkey,Europe,5493244,6513.29,38481,45.63,6285,50324,59.67,328,0.39,46,Community transmission
The United Kingdom,Europe,5191463,7647.32,232591,342.62,36216,128481,189.26,213,0.31,50,Community transmission
Argentina,Americas,4682960,10361.5,108620,240.33,20023,99640,220.46,2657,5.88,385,Community transmission
Colombia,Americas,4548142,8938.45,145560,286.07,17532,113839,223.73,3820,7.51,504,Community transmission
Italy,Europe,4273693,7165.64,8989,15.07,1530,127808,214.29,104,0.17,20,Clusters of cases
Spain,Europe,4015084,8482.7,121494,256.68,12469,81033,171.2,29,0.06,1,Community transmission
Germany,Europe,3738683,4495.41,6134,7.38,1548,91287,109.76,177,0.21,28,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,3440400,4096.06,136265,162.23,23371,86391,102.86,1130,1.35,184,Community transmission
Poland,Europe,2881046,7590.06,543,1.43,87,75179,198.06,65,0.17,6,Community transmission
Indonesia,South-East Asia,2670046,976.17,290649,106.26,54517,69210,25.3,6302,2.3,991,Community transmission
Mexico,Americas,2604711,2020.21,54849,42.54,11137,235277,182.48,1319,1.02,219,Community transmission
Ukraine,Europe,2242245,5127.03,3271,7.48,547,52665,120.42,128,0.29,25,Community transmission
South Africa,Africa,2219316,3741.97,128407,216.51,12535,65142,109.84,2514,4.24,633,Community transmission
Peru,Americas,2083567,6319.23,14516,44.03,2010,194606,590.22,1018,3.09,118,Community transmission
Netherlands,Europe,1744700,10022.64,51957,298.47,7888,17769,102.08,11,0.06,3,Community transmission
Czechia,Europe,1670073,15617.01,1714,16.03,328,30335,283.67,4,0.04,2,Community transmission
Chile,Americas,1592130,8328.69,15794,82.62,1243,34049,178.12,721,3.77,33,Community transmission
Philippines,Western Pacific,1485457,1355.58,35356,32.26,3797,26232,23.94,773,0.71,140,Community transmission
Iraq,Eastern Mediterranean,1457192,3622.83,60092,149.4,9635,17677,43.95,264,0.66,47,Community transmission
Canada,Americas,1421447,3766.21,3367,8.92,339,26450,70.08,69,0.18,12,Community transmission
Belgium,Europe,1098332,9532.11,6250,54.24,1,25207,218.76,11,0.1,0,Community transmission
Sweden,Europe,1093209,10585.33,1529,14.81,441,14645,141.8,1,0.01,0,Community transmission
Romania,Europe,1081405,5594.78,315,1.63,79,34242,177.15,21,0.11,3,Community transmission
Bangladesh,South-East Asia,1059538,643.36,81970,49.77,12383,17052,10.35,1459,0.89,210,Community transmission
Pakistan,Eastern Mediterranean,978662,443.05,12655,5.73,1980,22642,10.25,173,0.08,24,Community transmission
Portugal,Europe,912406,8861.83,19665,191,2650,17173,166.79,55,0.53,9,Clusters of cases
Malaysia,Western Pacific,867567,2680.49,67777,209.41,11618,6503,20.09,735,2.27,118,Community transmission
Israel,Europe,847969,9796.83,3386,39.12,170,6440,74.4,7,0.08,0,Community transmission
Japan,Western Pacific,827772,654.49,16060,12.7,3183,14990,11.85,93,0.07,19,Clusters of cases
Hungary,Europe,808612,8276.88,274,2.8,56,30013,307.21,14,0.14,3,Community transmission
Jordan,Eastern Mediterranean,759025,7439.14,4098,40.16,734,9864,96.68,64,0.63,9,Community transmission
Serbia,Europe,717812,10362.96,719,10.38,145,7076,102.16,15,0.22,3,Community transmission
Switzerland,Europe,703094,8123.92,1802,20.82,1,10314,119.17,2,0.02,0,Community transmission
Nepal,South-East Asia,660788,2267.88,10626,36.47,2010,9430,32.36,139,0.48,18,Community transmission
United Arab Emirates,Eastern Mediterranean,654813,6620.69,10699,108.18,1529,1880,19.01,33,0.33,4,Community transmission
Austria,Europe,647662,7276.23,1098,12.34,250,10514,118.12,1,0.01,0,Community transmission
Lebanon,Eastern Mediterranean,548972,8043.02,2606,38.18,517,7881,115.46,14,0.21,2,Community transmission
Morocco,Eastern Mediterranean,547273,1482.7,10020,27.15,2257,9404,25.48,63,0.17,9,Community transmission
Kazakhstan,Europe,520336,2771.18,17755,94.56,0,8173,43.53,239,1.27,0,Clusters of cases
Tunisia,Eastern Mediterranean,518609,4388.07,53695,454.33,8213,16845,142.53,1110,9.39,194,Community transmission
Saudi Arabia,Eastern Mediterranean,504960,1450.46,8444,24.25,1226,8020,23.04,99,0.28,14,Community transmission
Ecuador,Americas,470882,2668.94,5853,33.17,0,21832,123.74,104,0.59,0,Community transmission
Bolivia (Plurinational State of),Americas,456815,3913.43,8602,73.69,1379,17287,148.09,274,2.35,37,Community transmission
Greece,Europe,444783,4149.65,15639,145.91,3911,12806,119.47,52,0.49,4,Community transmission
Paraguay,Americas,439897,6167.47,8530,119.59,1133,14016,196.51,463,6.49,52,Community transmission
Belarus,Europe,429181,4541.92,6660,70.48,586,3276,34.67,72,0.76,10,Community transmission
Bulgaria,Europe,422619,6079.55,381,5.48,74,18154,261.15,27,0.39,10,Clusters of cases
Panama,Americas,417087,9666.5,7083,164.16,855,6654,154.21,63,1.46,8,Community transmission
Slovakia,Europe,391971,7181.75,236,4.32,18,12523,229.45,9,0.16,1,Clusters of cases
Costa Rica,Americas,385069,7559.09,9257,181.72,1569,4829,94.8,89,1.75,17,Community transmission
Georgia,Europe,381336,9559.27,8651,216.86,1662,5492,137.67,98,2.46,13,Community transmission
Kuwait,Eastern Mediterranean,380699,8914.48,11472,268.63,1623,2158,50.53,99,2.32,11,Community transmission
Uruguay,Americas,377297,10861.44,3278,94.37,421,5849,168.38,114,3.28,16,Community transmission
Thailand,South-East Asia,363029,520.1,61857,88.62,9317,2934,4.2,547,0.78,87,Clusters of cases
Croatia,Europe,361079,8897.59,596,14.69,155,8233,202.87,9,0.22,2,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,344250,6748.13,540,10.59,84,3853,75.53,8,0.16,2,Community transmission
Azerbaijan,Europe,337456,3328.24,899,8.87,133,4988,49.2,10,0.1,1,Clusters of cases
Dominican Republic,Americas,335609,3093.77,4668,43.03,530,3900,35.95,30,0.28,3,Community transmission
Guatemala,Americas,325024,1814.2,16751,93.5,2904,9798,54.69,225,1.26,42,Community transmission
Denmark,Europe,301126,5171.53,4930,84.67,1055,2539,43.6,1,0.02,0,Community transmission
Oman,Eastern Mediterranean,288138,5642.43,7903,154.76,1084,3484,68.23,128,2.51,12,Community transmission
Venezuela (Bolivarian Republic of),Americas,286990,1009.25,7177,25.24,1080,3315,11.66,93,0.33,13,Community transmission
Egypt,Eastern Mediterranean,283409,276.94,827,0.81,89,16418,16.04,86,0.08,6,Clusters of cases
Lithuania,Europe,279381,9999,397,14.21,79,4402,157.55,7,0.25,1,Community transmission
Sri Lanka,South-East Asia,279059,1303.21,10383,48.49,1540,3554,16.6,260,1.21,37,Clusters of cases
